resume_id,false_positive_skill,baseline_extracted_it,hardened_extracted_it,fixed
R0008,Java,True,False,True
R0008,R,True,False,True
R0008,Roadmapping,True,False,True
R0009,R,True,False,True
R0010,R,True,False,True
R0018,R,True,False,True
R0019,R,True,False,True
R0020,R,True,False,True
R0020,TensorFlow,True,False,True
R0028,R,True,False,True
R0029,R,True,False,True
R0029,TypeScript,True,False,True
R0030,R,True,False,True
R0038,R,True,False,True
R0039,CI/CD,True,False,True
R0039,Postman,True,False,True
R0039,R,True,False,True
R0040,Linux,True,False,True
R0040,R,True,False,True
R0048,Excel,True,False,True
R0048,R,True,False,True
R0049,R,True,False,True
R0050,R,True,False,True
R0058,Java,True,False,True
R0058,R,True,False,True
R0059,R,True,False,True
R0059,Vue.js,True,False,True
R0060,R,True,False,True
